#keyword,category
bacterial evolution,evolutionary psychology
bose–einstein condensate,phase transitions
oxygenated aqueous-solution,cell metabolism
drug resistance,infectious diseases
nanoparticle properties,optics
population,late modern period
soil quality monitoring,hydrology
eastern europe,early modern period
diptera,infectious diseases
wash,water pollution
operational taxonomic unit,formal verification
multi-model ensemble simulations,systems engineering
high spatial resolution,optics
"history, 21st century",prehistory
fenton oxidation,cell metabolism
wind veer,wind energy
frequency,ultrasound
positioning,air pollution
crispr,genetic engineering
element analysis,coordination chemistry
snow + sleet + granular snow + ice needles (meteorology),meteorology
cycloheptene,general organic chemistry
plume evolution,quantum field theory
sarcoma,pathology
u speciation,population genetics
extreme indicators,customer relationship management
flexible barrier,hydroelectricity
application,internet
fagopyrum esculentum,plasma physics
land-use,conservation biology
global energy use,ventilation
spontaneous generation,ethology
genome-wide association studies,behavioral genetics
language,semantics
meteoritic breccia,atmosphere
hillslope aspect,painting
finding nemo,computer animation
ploughing,conservation biology
hall effect sensor,general relativity
impacts,operating systems
oxidation by-products,water pollution
biological physics,computability theory
algorithm,computability theory
order of magnitude,chaos theory
youth parties,theatre
molecular compositions,nanotechnology
turbidity,water pollution
livestock species,conservation biology
source sink relationship,design of experiments
coral reef diversity,mass communication
bromoform,polymer chemistry
reclaimed water,water pollution
forest regulations,urban geography
pressure drop,fluid mechanics
biodiversity ecosystem functioning (bef),conservation biology
feed prices,quantum field theory
trait-mediated interactions,general machine learning
flash flood,meteorology
functional-groups,general organic chemistry
invasive,late modern period
disease suppressiveness,infectious diseases
insect herbivores,ecosystems
aesthetics,painting
ins,futures studies
florida,general organic chemistry
forest site types,biochemistry
anisohydry,optics
ontogenetic stage,cell communication
politics & international relations,late modern period
quercus,endocrinology
sdm,general telecommunications
graph-based methods,drawing
economy,mathematical economics
echelle temporelle,general relativity
gulf,general organic chemistry
cassava root yield and harvest month,general relativity
black carbon on snow,global change
non-target arthropods,evolutionary developmental biology
global goal,preventive healthcare
microalgae,paleoclimatology
clo2,immunology
spatial scale,coordination chemistry
co-production,ethology
long-term exposure,internet
pulse,cardiology
genetic variability,population genetics
impervious fraction,water pollution
simulation modelling,growth models
piston velocity,solid-state physics
critical soil moisture threshold,metallurgy
synthase-mediated metabolism,cell metabolism
discretization,numerical analysis
applied microbiology,conservation biology
terminal electron acceptor,coordination chemistry
sedimentary organic carbon,general marine biology
herbivore preference,mathematical economics
treeline dynamics,biochemistry
snp,infectious diseases
fluctuation scaling,abstract algebra
reaction rate constant,chemical kinetics
salt wedge,electrochemistry
open channel flow,fluid mechanics
métropole,urban geography
tto:6.0240,cosmetics
forest damages by drought and heat,communication protocol
ecological costs,conservation biology
hot brownian motion,algorithmic information theory
ortho-image,cognitive psychology
secondary organic aerosols (soa),general analytical chemistry
climate extreme,global change
aggregates,keynesian economics
soil animals,conservation biology
forest thinning,solid-state physics
model coupling,distributed computing
labile fe(iii),cryptography
soil biogeochemistry,ecosystems
affordable and clean energy,solar engineering
mountainous area,geomorphology
ökologische gutachten + ökologische bewertung (umweltschutz),computer security threats
scaling law,aerospace engineering
turbulent kinetic energy budget,fluid mechanics
biomass-mineral assemblage,air pollution
shell,prehistory
atmospheric physics,meteorology
submicron aerosol,air pollution
canopy height,copyright law
time-weighted average (twa) concentration,corporate finance
atmospheric modeling,meteorology
co-electrospinning,metallurgy
sas function,cryptography
(extreme) temperature reconstruction,radiology
ulm,plant morphology
justice,early modern period
dispersions,regression analysis
deliberative democracy,late modern period
squalius cephalus,chaos theory
hardy breed,functional analysis
"rhythmik, periodizität, zyklische variationen (pflanzenphysiologie)",astronomical spectrometry
atmosphärendynamik,meteorology
surface water contamination,nuclear power
social behavior,positive psychology
